,NeighbourValue,RelativesValue,TipState,tip
0,-0.5296960098084296,,3.100868060831902,'Canichana [cani1243][caz]-l-':1;
1,-1.7644285727407916,,1.0284654481155724,'Pawnee [pawn1254][paw]-l-':1
2,-2.0068191481649014,-1.5753892983721076,-1.9782566413099631,'Yuki [yuki1243][yuk]-l-':1
3,-1.9721346830097055,-1.9782566413099631,-1.5753892983721076,'Wappo [wapp1239][wao]-l-':1
4,-0.8428777937166578,,-4.307045495923998,'Aka-Bea [akab1249][abj]-l-':1
5,-0.8428777937166578,,-0.4273639326391544,'Aka-Jeru [akaj1239][akj]-l-':1
6,-2.527551998682493,-2.8987892431121756,-4.915818982282287,'Bench [benc1235][bcq]-l-':1
7,-2.8739290072351515,-3.5343863901342267,-2.802304826741392,'Kachama-Ganjule-Haro [kach1284][kcx]-l-':1
8,-2.686747923292371,-3.9613275079691173,-4.150275495054648,'Dawro [dawr1236][dwr]-l-':1
9,-2.495346482972662,-2.530276289747162,-0.0374114490743131,'Anfillo [anfi1235][myo]-l-':1
10,-2.6280331531473324,-3.6363542716516135,-3.0496431347997537,'Male {Ethiopia} [male1284][mdy]-l-':1
11,-2.693095418231461,-4.439105598203623,-3.1947193145856354,'Gamo [gamo1243][gmv]-l-':1
12,-2.65286814439875,-3.920661670059222,-2.4991246780211784,'Melo [melo1242][mfx]-l-':1
13,-2.7872928484243005,-3.643013797253515,-3.6097161692440056,'Wolaytta [wola1242][wal]-l-':1
14,-2.638133305533888,,-1.2618867473064834,'Kafa [kafa1242][kbr]-l-':1
15,-2.778593669298327,-3.6724974048201418,-4.727935701352599,'Gofa [gofa1235][gof]-l-':1
16,-2.5517229647629702,-0.6496490981903983,-3.7986658321878406,'Boro {Ethiopia} [boro1277][bwo]-l-':1
17,-2.428621209877907,-3.4558324555630744,-1.391180574067706,'Chara [char1269][cra]-l-':1
18,-2.852537970420191,-3.2767051285887607,-3.317667349832324,'Zayse-Zergulla [zays1235][zay]-l-':1
19,-2.8593317470197746,-3.059986088286858,-3.751105430436129,'Koorete [koor1239][kqy]-l-':1
20,-2.7202857495560226,-3.0362468346418785,-2.9914127008664457,'Yemsa [yems1235][jnj]-l-':1
21,-0.11668693925056309,,-2.032609801628373,'Monumbo [nucl1458][mxk]-l-':1
22,-0.6919991125084333,,-3.0818329189042872,'Yimas [yima1243][yee]-l-':1
23,-0.15634614424806564,,0.6752490078857575,'Awar [awar1249][aya]-l-':1
24,-1.0779630111637821,,-1.502337866565964,'Central Kalapuya [kala1400][kyl]-l-':1
25,0.6582027647826593,2.046110487331148,1.3345563301997572,'ItzÃ¡ [itza1241][itz]-l-':1
26,0.8543524057270128,0.7589938720999101,0.9504687565478116,'Popti'' [popt1235][jac]-l-':1
27,0.9710183824586541,0.18180675225698528,0.3502448088491629,'Mam [mamm1241][mam]-l-':1
28,0.9443154395174863,0.8228188335825438,2.2898529243913313,'Mocho [moch1257][mhc]-l-':1
29,0.8825199712263705,-0.040553799011140985,1.6794079985698445,'Tojolabal [tojo1241][toj]-l-':1
30,0.8366334218346676,0.9716216788080518,0.5252131431315282,'Akateko [west2635][knj]-l-':1
31,0.8668880269119583,0.3502448088491629,0.18180675225698528,'Tektiteko [tekt1235][ttc]-l-':1
32,0.658944951942303,,0.8730648130056233,'Yucatec Maya [yuca1254][yua]-l-':1
33,0.8236459394277155,1.5089114039956129,2.4425192551130084,'Achi [achi1256][acr]-l-':1
34,0.7789629064870198,2.4425192551130084,1.5089114039956129,'K''iche'' [kich1262][quc]-l-':1
35,0.6357485610320399,0.7378409498396699,0.992774601068292,'Q''anjob''al [qanj1241][kjb]-l-':1
36,0.6891399020492415,1.3345563301997572,2.046110487331148,'MopÃ¡n Maya [mopa1243][mop]-l-':1
37,0.851291443383802,,2.1037001775098534,'Kaqchikel [kaqc1270][cak]-l-':1
38,0.8137214993231312,1.6794079985698445,-0.040553799011140985,'Chuj [chuj1250][cac]-l-':1
39,-0.6965208713064676,,0.6023414490373139,'Huastec [huas1242][hus]-l-':1
40,-1.6917344685213398,,-1.5655084647216317,'PilagÃ¡ [pila1245][plg]-l-':1
41,-1.3649573969839648,-0.9788786860582026,-3.1371491162505367,'Abipon [abip1241][axb]-l-':1
42,-1.5350232971530882,-1.5655084647216317,-0.3922489073947736,'MocovÃ­ [moco1246][moc]-l-':1
43,-1.258512352452741,,-0.5671051941648143,'Miriwung [miri1266][mep]-l-':1
44,-2.0557324263015215,-2.704997426912429,-1.258609704939624,'Ninam [nina1238][shb]-l-':1
45,-3.216693356397887,-2.222868186254827,-1.4246146739869643,'SanumÃ¡ [sanu1240][xsu]-l-':1
46,-2.016235898095096,-4.00998863751405,-1.4000062163108078,'YanomamÃ¶ [yano1261][guu]-l-':1
47,-1.9825326686359939,-1.4000062163108078,-4.00998863751405,'YanomÃ¡mi [yano1262][wca]-l-':1
48,-0.9648945645021235,,-1.2164948784821352,'Yale [yale1246][nce]-l-':1;
49,4.090808667235298,1.8042704219837773,3.918666834162509,'West Makian [west2600][mqs]-l-':1
50,2.82282906602896,3.0513752077895453,4.12360336160554,'Tidore [tido1248][tvo]-l-':1
51,2.191730804905914,4.12360336160554,3.0513752077895453,'Ternate [tern1247][tft]-l-':1
52,3.230944820493464,0.8994915405335934,0.9521693409067974,'Tabaru [taba1263][tby]-l-':1
53,2.5497021354132903,,1.3631415990455635,'Tobelo [tobe1252][tlb]-l-':1
54,2.5497021354132903,,-0.2720396837317434,'Pagu [pagu1249][pgu]-l-':1
55,2.3566498405085126,,1.60737270628696,'Galela [gale1259][gbi]-l-':1
