,NeighbourValue,RelativesValue,TipState,tip
1169,-0.3106941603494625,1.7790944736981598,0.21174955451473265,'Tegali [tega1236][ras]-l-':1
1170,-0.3636782591625438,0.21174955451473265,1.7790944736981598,'Tagoi [tago1246][tag]-l-':1
1171,-1.1751257888894568,,-1.4033352872340301,'Yele [yele1255][yle]-l-':1;
1172,-0.9508183632939788,-1.4252876366026705,-0.9508183632939788,'Gungabula [gung1248][gyf]-l-':1
1173,-0.5002305155843321,-1.4313766615717196,-0.5002305155843321,'Middle Clarence Bandjalang [midd1357][bdy]-l-':1
1174,-1.5299589595490342,-1.3931397833070414,-3.3297595071705084,'Alyawarr [alya1239][aly]-l-':1
1175,0.16758071241720882,-1.4404011376257946,0.16758071241720882,'Dharumbal [dhar1248][xgm]-l-':1
1176,-1.3206493998547921,-1.4321221603340648,-0.4450636071707935,'Maykulan [mayk1239][mnt]-l-':1
1177,0.00851512901408718,-1.4506725999822432,0.9276689267944114,'Atampaya [atam1239][amz]-l-':1
1178,-1.1365192997055729,-1.4227781644890003,-1.1365192997055729,'Ngaanyatjarra [ngaa1240][ntj]-l-':1
1179,0.4901325676715638,-1.4447599464805831,0.4901325676715638,'Nyawaygi [nyaw1247][nyt]-l-':1
1180,-0.6122729611191491,-1.4298625744698978,-0.6122729611191491,'Woiwurrung [woiw1237][wyi]-l-':1
1181,-0.8546341378296095,-1.42658742343327,-0.8546341378296095,'Panytyima [pany1241][pnw]-l-':1
1182,-0.567939389795568,-1.3989277059165526,-2.9014532340666923,'Bilinarra [bili1250]':1
1183,-2.0005736221852253,-1.3937683363254418,-3.2832465838088654,'Yalarnnga [yala1262][ylr]-l-':1
1184,-1.9032635114576473,-1.3927563419825202,-3.3581341651850702,'Kalkutung [kalk1246][ktg]-l-':1
1185,1.0062111052971396,-1.4517339807728207,1.0062111052971396,'Awabakal [awab1243][awk]-l-':1
1186,-0.963683249807233,-1.4251137867849237,-0.963683249807233,'Narrinyeri [narr1259][nay]-l-':1
1187,-1.7336115007157462,-1.4147093509618356,-1.7336115007157462,'Dieri [dier1241][dif]-l-':1
1188,-3.1510523955665777,-1.395554744274662,-3.1510523955665777,'Wathawurrung [wath1238][wth]-l-':1
1189,-1.809431214296025,-1.3937683363254418,-3.2832465838088654,'Yindjilandji [yind1248][yil]-l-':1
1190,0.15258126545790654,-1.4401984423966148,0.15258126545790654,'Margany [marg1253][zmc]-l-':1
1191,-1.5014257343461588,-1.4091292040150873,-2.146542374775117,'Thayore [thay1249][thd]-l-':1
1192,-0.31924859209036943,-1.433822363240557,-0.31924859209036943,'Dyangadi [dyan1250][dyn]-l-':1
1193,-0.33699222555311026,-1.4335825844099794,-0.33699222555311026,'Yankunytjatjara [yank1247][kdd]-l-':1
1194,-2.870735815862655,-1.3960009903686448,-3.118030184611868,'Nyangumarta [nyan1301][nna]-l-':1
1195,-0.5032328090462859,-1.43133609003845,-0.5032328090462859,'Yorta Yorta [yort1237][xyy]-l-':1
1196,-4.113869331835182,-1.3825437045953566,-4.113869331835182,'Kuku-Yalanji [kuku1273][gvn]-l-':1
1197,-1.887553274248788,-1.4126290567249027,-1.887553274248788,'Warrongo [waru1264][wrg]-l-':1
1198,-1.2576092179226521,-1.4256032929626217,-0.9274597926575836,'Wik-Mungkan [wikm1247][wim]-l-':1
1199,-0.45552523027725234,-1.3964314593904161,-3.0861754770007797,'Ritarungo [rita1239][rit]-l-':1
1200,-1.3288593680525538,-1.3985151515527339,-2.9319822569892806,'Walmajarri [walm1241][wmt]-l-':1
1201,-1.586341737808464,-1.4057061404817346,-2.3998490762432296,'Aghu Tharnggalu [aghu1254][ggr]-l-':1
1202,-0.5362678135948529,-1.4308896710580639,-0.5362678135948529,'Kokata [koka1244][ktd]-l-':1
1203,-1.641482703948118,-1.4159543347019388,-1.641482703948118,'Warluwara [warl1256][wrb]-l-':1
1204,-0.13853799578148135,-1.4245857795879109,-1.0027557823861883,'Djambarrpuyngu [djam1256][djr]-l-':1
1205,-3.1544699745097207,-1.3955085607754305,-3.1544699745097207,'Muruwari [muru1266][zmu]-l-':1
1206,-2.346307065231477,-1.4064296811710826,-2.346307065231477,'Warrgamay [warr1255][wgy]-l-':1
1207,-0.13713376823788112,-1.4362833743736987,-0.13713376823788112,'Martuthunira [mart1255][vma]-l-':1
1208,-3.021776392137145,-1.3973017172939788,-3.021776392137145,'Wanman [wanm1242][wbt]-l-':1
1209,-1.5228691218943542,-1.4373590541286407,-0.057533466372177725,'Karadjeri [kara1476][gbd]-l-':1
1210,-1.6026914527068408,-1.398203168617755,-2.9550689941777173,'Wagaya [waga1260][wga]-l-':1
1211,-3.3703143079437585,-1.3925917454587542,-3.3703143079437585,'Yindjibarndi [yind1247][yij]-l-':1
1212,-1.3971743898700255,-1.4192557984056968,-1.3971743898700255,'Biri [biri1256][bzr]-l-':1
1213,-1.8582400257290939,-1.3955319977591074,-3.1527356377176394,'Bularnu [bula1255]-l-':1
1214,-1.233858528403864,-1.421462769506591,-1.233858528403864,'Kumbainggar [kumb1268][kgs]-l-':1
1215,-0.6194821170110192,-1.404423798856185,-2.494742356533897,'Jaru [jaru1254][ddj]-l-':1
1216,-1.1293750092025918,-1.4276694246785933,-0.7745660456756797,'Warlpiri [warl1254][wbp]-l-':1
1217,-1.8099970757192532,-1.4136771134617883,-1.8099970757192532,'Yandruwandha [yand1253][ynd]-l-':1
1218,-0.7900433011784511,-1.4274602725772045,-0.7900433011784511,'Duungidjawu [duun1241]':1
1219,-0.9031531015268972,-1.4259317617616851,-0.9031531015268972,'Pitta Pitta [pitt1247][pit]-l-':1
1220,-1.0397338141983783,-1.4240860764553136,-1.0397338141983783,'Dyirbal [dyir1250][dbl]-l-':1
1221,-2.9955125197311223,-1.397656634488655,-2.9955125197311223,'Ganai [gana1278][unn]-l-':1
1222,0.839776874246687,-1.449484869542409,0.839776874246687,'Kaurna [kaur1267][zku]-l-':1
1223,-0.7225662012411325,-1.4280529840757825,-0.746182650283679,'Guugu Yimidhirr [gugu1255][kky]-l-':1
1224,-0.7605052858160777,-1.4278594349469664,-0.7605052858160777,'Wajarri [waja1257][wbv]-l-':1
1225,-0.20806772795940923,-1.4410984142270784,0.2191791809122076,'Djinang [djin1253][dji]-l-':1
1226,-1.8550041365665306,-1.4008611279781427,-2.7583800015090314,'Kunjen [kunj1245][kjn]-l-':1
1227,-0.14384006078574627,-1.4361927487987276,-0.14384006078574627,'Gunya [guny1241][gyy]-l-':1
1228,-1.5777910368543413,-1.4197799307219205,-1.3583885984694641,'Warumungu [waru1265][wrm]-l-':1
1229,-1.6305907936210797,-1.4198906749297122,-1.3501935270928858,'Yulparija [yulp1239]-l-':1
1230,-1.122247526130352,-1.4100001444028267,-2.082092786082409,'Yanyuwa [yany1243][jao]-l-':1
1231,-1.5003274550509689,-1.4178618380654138,-1.5003274550509689,'Arabana [arab1267][ard]-l-':1
1232,-3.0335078700010913,-1.3971431838093311,-3.0335078700010913,'Ngiyambaa [wang1291][wyb]-l-':1
1233,0.2670585298193762,-1.4570254744957982,1.3977816407974772,'Kala Lagaw Ya [kala1377][mwp]-l-':1
1234,0.5559541058537852,-1.445649426726289,0.5559541058537852,'Gugu Badhun [gugu1253][gdc]-l-':1
1235,-0.6148450581934649,-1.429827816401326,-0.6148450581934649,'Yidi̱ [yidi1250][yii]-l-':1
1236,-0.1844380816285954,-1.3977622415813191,-2.9876975948739792,'Djapu [djap1238]':1
1237,-2.461291947588502,-1.4048758314095011,-2.461291947588502,'Dhargari [dhar1247][dhr]-l-':1
1238,-0.6963748125894108,-1.428726062963543,-0.6963748125894108,'Wirangu [wira1265][wgu]-l-':1
1239,-0.1655800836412456,-1.4358989647060858,-0.1655800836412456,'Paakantyi [darl1243][drl]-l-':1
1240,-2.5178279098395238,-1.4041118319196224,-2.5178279098395238,'Kurrama [kurr1243][vku]-l-':1
1241,-2.6145391497418653,-1.4028049232722937,-2.6145391497418653,'Yinggarda [ying1247][yia]-l-':1
1242,-2.9453836886924374,-1.398334051124313,-2.9453836886924374,'Nhanda [nhan1238][nha]-l-':1
1243,0.28381369123251704,-1.4419718535557313,0.28381369123251704,'Yuwaalaraay [yuwa1242]':1
1244,-0.13353343949919733,-1.436332027464762,-0.13353343949919733,'Eastern Arrernte [east2379][aer]-l-':1
1245,-1.1547534115228117,-1.4325530096112595,-0.4131807606583825,'Kuku-Uwanh [kuku1280][uwa]-l-':1
1246,-0.08982232318427989,-1.4369227182257744,-0.08982232318427989,'Narungga [naru1238][nnr]-l-':1
1247,0.07257453424985563,,0.7471919086166275,'Fur [furr1244][fvr]-l-':1
1248,-3.154667486626726,-5.067933846435716,-5.666703657407617,'Filomena Mata Totonac [filo1235][tlp]-l-':1
1249,-3.1510769500065527,-5.083193627071452,-5.6056645348646725,'Upper Necaxa Totonac [uppe1275][tku]-l-':1
1250,-3.1648376569903593,-5.024710622390276,-5.83959655358938,'Coyutla Totonac [coyu1235][toc]-l-':1
